N,P,alpha,seed,n_resolved,mean,median,std,iqr,min,max,gap,skewness,excess_kurtosis,path
4000,200,0.05,1004,200,0.26912375480849277,0.27072366507363743,0.01727450603216548,0.01967962508938298,0.19804864911853548,0.3097728340550946,0.11172418493655911,-0.5870975121280334,1.35226387412912,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1004.npz
4000,200,0.05,1005,200,0.2653381612138553,0.26712409430889916,0.01593267374957657,0.0203059888093019,0.21882187008841472,0.3019953508184986,0.08317348073008388,-0.4054733245545509,0.10648825136234263,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1005.npz
4000,200,0.05,1006,200,0.26990403457035406,0.27231578089286357,0.01787190854296697,0.023015814911140242,0.17550796920223038,0.3088872071573715,0.13337923795514112,-0.9068963836872816,3.2178270460146567,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1006.npz
4000,200,0.05,1007,200,0.2676953110573567,0.26676650362005605,0.01822309486796988,0.02469276061766318,0.1987748929583083,0.310495396544714,0.11172050358640567,-0.35050551886780806,0.5881660429637452,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1007.npz
4000,200,0.05,1008,200,0.26964598909893794,0.269421615987496,0.016736193627371686,0.023299763150631647,0.21671920190994964,0.3071598624084324,0.09044066049848276,-0.16566178756349453,-0.09447785274298015,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1008.npz
4000,200,0.05,1009,200,0.2663133109939928,0.26675236527755763,0.017245567905451613,0.01980052769109797,0.20140393857602074,0.2976566345556979,0.09625269597967717,-0.7577316953596227,1.0657881550000123,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1009.npz
4000,200,0.05,1010,200,0.26680536954003764,0.2686297807131253,0.017472716095463737,0.022485713903927673,0.2177335461639412,0.305257835847475,0.08752428968353382,-0.3754673193301505,-0.15966891075864798,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1010.npz
4000,200,0.05,1011,200,0.26676939999974364,0.2692480827764707,0.019592156855483718,0.021067903311473346,0.13742662289909152,0.3098195704442639,0.17239294754517237,-1.6986971576384924,9.07874698641977,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1011.npz
5657,100,0.0176772140710624,1000,100,0.3547830588073683,0.3555000859153029,0.01070833045135896,0.012653227662059952,0.3287202895826829,0.3831267913058658,0.0544065017231829,-0.13370326995618398,0.03938249304027641,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1000.npz
5657,100,0.0176772140710624,1001,100,0.3529670634333945,0.35330446776456004,0.009311070638842378,0.013008712330431327,0.32599343503702316,0.3763427791033852,0.050349344066362045,-0.11304731596456001,-0.11955760533977022,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1001.npz
5657,100,0.0176772140710624,1002,100,0.3553967834374383,0.3567208168886716,0.010546272151156734,0.015448233877829232,0.3347515935146961,0.3768546448331249,0.04210305131842884,-0.11770233486703009,-0.7920594675910979,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1002.npz
5657,100,0.0176772140710624,1003,100,0.35565230936256315,0.3545579312812822,0.010266940138119173,0.013052621693860122,0.3314151762908252,0.3826498292787268,0.05123465298790164,0.36298146838667716,0.12231361103983485,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1003.npz
5657,100,0.0176772140710624,1004,100,0.3528990020835491,0.35321005393905325,0.012005846583675156,0.017349560908859307,0.31883242574933324,0.3833788585476938,0.06454643279836059,-0.07029818567252506,-0.31052782434278825,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1004.npz
5657,100,0.0176772140710624,1005,100,0.35594067203424623,0.3565939894520959,0.010981858246369974,0.016025119213098404,0.3311545599643156,0.3836441764171201,0.05248961645280453,-0.06237248659540991,-0.31253179970833456,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1005.npz
5657,100,0.0176772140710624,1006,100,0.3538861995220995,0.35293357638752276,0.011246529991330552,0.014338573613990935,0.32493511367903183,0.3779494683192381,0.05301435464020626,-0.2433186161998861,-0.0794417807242267,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1006.npz
5657,100,0.0176772140710624,1007,100,0.35418572856988767,0.3538114714741093,0.01020969631299323,0.014022484222996845,0.3273424700123811,0.37723775871965226,0.04989528870727117,-0.14178038853510103,-0.05914191795735668,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1007.npz
5657,100,0.0176772140710624,1008,100,0.35461597408330825,0.35554451260236253,0.011008064205890651,0.015370673154613046,0.32502390654066726,0.3765370530491514,0.05151314650848415,-0.1628720540457479,-0.36814410344728676,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1008.npz
5657,100,0.0176772140710624,1009,100,0.3533346112204934,0.35154030968227773,0.010097029108764446,0.01405880746638899,0.32967329135972845,0.3768863912638055,0.04721309990407707,0.08373065170071448,-0.29967898995324216,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1009.npz
5657,100,0.0176772140710624,1010,100,0.35291054073952954,0.3517380448124688,0.012279545561530693,0.01533747258043272,0.3201994770218307,0.3787125338533963,0.0585130568315656,-0.18443919511877366,-0.17779956950777365,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1010.npz
5657,100,0.0176772140710624,1011,100,0.35325395266242304,0.35380451228492354,0.010179537821387828,0.011597330387914662,0.3280692008274636,0.38394096324591376,0.055871762418450155,0.22876755584547298,0.4394538356013662,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1011.npz
5657,100,0.0176772140710624,1012,100,0.3527437470915888,0.35408617691688893,0.010571571929484512,0.014633222832602044,0.3201475479428454,0.37545521192769005,0.05530766398484466,-0.3697985963825483,-0.008443048511888929,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1012.npz
5657,100,0.0176772140710624,1013,100,0.3541858520783587,0.35399953335859397,0.010830293709824374,0.016382606415250245,0.33,0.3790307402971047,0.04903074029710469,-0.07264851568053668,-0.532430973452362,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1013.npz
5657,100,0.0176772140710624,1014,100,0.3550329785757443,0.3544132895127098,0.010263647789654778,0.013907391059942542,0.3273044754181872,0.38524261962586925,0.05793814420768206,0.10072539346000409,0.5748240123832487,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1014.npz
5657,100,0.0176772140710624,1015,100,0.3519046735844137,0.35167437004897434,0.01123733819910766,0.01511365072064863,0.31575241080802396,0.37678327493994723,0.06103086413192327,-0.2567835910606817,0.18102370891370656,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N5657_P100_s1015.npz
