alpha,lambda,seed,P,trajectory_class,transitions,transition_rate,forward_fraction,reversal_fraction,tours,fixed_residual,periodic_closure,peak_analog_mean,binary_retrieval_mean,participation_mean,front_width_mean,quarter_1_transitions,quarter_2_transitions,quarter_3_transitions,quarter_4_transitions,trajectory_source,lyapunov_source,lyapunov_k,lyapunov_final,lyapunov_tail_250,lyapunov_status
0.09,0.9,46,180,strict_sequence,147,0.091875,1.0,0.0,0.8166666666666667,0.06358823353992804,0.6209271941087359,0.9273551983845131,0.9765699999999999,1.1779686172007386,1.0731829260671208,37,37,37,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p90_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p09_lam0p90_s46_k1.npz,1,-0.004445273330048374,8.074830097469376e-05,no_positive_exponent_resolved
0.13,0.35,42,260,strict_sequence,102,0.06375,1.0,0.0,0.3923076923076923,0.020941750040238783,0.6822318342184907,0.8058872701961208,0.8751720000000001,1.5723959747020733,1.2126742078620085,25,26,26,25,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p35_s42.npz,,,,,not_computed
0.13,0.35,43,260,strict_sequence,103,0.064375,1.0,0.0,0.39615384615384613,0.026189768564543973,1.1066332315618237,0.8056786410359005,0.8748490000000001,1.5858469165100328,1.2119867508280733,26,25,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p35_s43.npz,,,,,not_computed
0.13,0.35,44,260,strict_sequence,103,0.064375,1.0,0.0,0.39615384615384613,0.019916991654239408,1.0267571018360324,0.8075824526868769,0.87764,1.571001121162034,1.2132991688019499,25,26,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p35_s44.npz,,,,,not_computed
0.13,0.35,45,260,strict_sequence,102,0.06375,1.0,0.0,0.3923076923076923,0.015581540437314577,0.8050252451933568,0.8065361245071432,0.876663,1.5737767222521817,1.2150490594337855,25,26,26,25,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p35_s45.npz,,,,,not_computed
0.13,0.35,46,260,strict_sequence,103,0.064375,1.0,0.0,0.39615384615384613,0.03191394261939001,1.1999838649017511,0.8046730362272773,0.872572,1.591291651428042,1.2154865320917443,26,26,25,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p35_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p13_lam0p35_s46_k1.npz,1,-0.003480074101410487,0.0002697135167154168,no_positive_exponent_resolved
0.13,0.4,42,260,strict_sequence,115,0.071875,1.0,0.0,0.4423076923076923,0.0380304373143518,1.2161673021930661,0.8402431197458118,0.903899,1.449228082121841,1.1803012311730516,29,28,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p40_s42.npz,,,,,not_computed
0.13,0.4,43,260,strict_sequence,115,0.071875,1.0,0.0,0.4423076923076923,0.03556580051654131,1.0175568589104558,0.8414643405755686,0.905195,1.449979170315957,1.178426348353228,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p40_s43.npz,,,,,not_computed
0.13,0.4,44,260,strict_sequence,115,0.071875,1.0,0.0,0.4423076923076923,0.03770633431666733,1.1664990250032048,0.8422289300189918,0.905985,1.4461233405268328,1.1791138053871633,29,29,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p40_s44.npz,,,,,not_computed
0.13,0.4,45,260,strict_sequence,115,0.071875,1.0,0.0,0.4423076923076923,0.036857609566698216,1.2089759538525466,0.841222497889151,0.903383,1.4433600598653171,1.1807387038310106,29,28,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p40_s45.npz,,,,,not_computed
